,color
Basal,#FFFF00
Multiciliated,#1CE6FF
Secretory,#FF34FF
Transitional Club-AT2,#FF4A46
Ionocyte,#008941
Tuft,#006FA6
Neuroendocrine,#A30059
SMG serous,#FFDBE5
SMG mucous,#7A4900
SMG duct,#0000A6
AT1,#63FFAC
AT2,#B79762
EC arterial,#004D43
EC capillary,#8FB0FF
EC venous,#997D87
Lymphatic EC,#5A0007
Peribronchial fibroblasts,#809693
Adventitial fibroblasts,#6A3A4C
Alveolar fibroblasts,#1B4400
Pericytes,#4FC601
Subpleural fibroblasts,#3B5DFF
Myofibroblasts,#4A3B53
Smooth muscle,#FF2F80
Fibromyocytes,#61615A
Mesothelium,#BA0900
B cell,#6B7900
Plasma cells,#00C2A0
T cell lineage,#FFAA92
Innate lymphoid cell NK,#FF90C9
DC1,#B903AA
DC2,#D16100
Migratory DCs,#DDEFFF
Plasmacytoid DCs,#000035
Alveolar macrophages,#7B4F4B
Monocyte-derived Mφ,#A1C299
Interstitial Mφ perivascular,#300018
Monocytes,#0AA6D8
Mast cells,#013349
